suburb,rooms,type,price,method,maintenance_score,seller_g,bedroom2,bathroom,car,building_area,council_area,region_name,size_class
Abbotsford,2,h,647538.0,SS,2,Jellis,2.0,1.0,1.0,159.0,Yarra City Council,Northern Metropolitan,small
Abbotsford,2,h,1480000.0,S,1,Biggin,2.0,1.0,1.0,566.0,Yarra City Council,Northern Metropolitan,extra-large
Abbotsford,2,h,1035000.0,S,2,Biggin,2.0,1.0,0.0,79.0,Yarra City Council,Northern Metropolitan,tiny
Abbotsford,3,u,465080.0,VB,8,Rounds,3.0,2.0,1.0,177.0,Yarra City Council,Northern Metropolitan,medium
Abbotsford,3,h,1465000.0,SP,8,Biggin,3.0,2.0,0.0,150.0,Yarra City Council,Northern Metropolitan,small
Abbotsford,3,h,850000.0,PI,6,Biggin,3.0,2.0,1.0,482.0,Yarra City Council,Northern Metropolitan,extra-large
Abbotsford,4,h,1600000.0,VB,2,Nelson,3.0,1.0,2.0,142.0,Yarra City Council,Northern Metropolitan,small
Abbotsford,4,h,658272.0,SN,6,Nelson,3.0,2.0,2.0,220.0,Yarra City Council,Northern Metropolitan,medium
Abbotsford,2,h,691899.0,S,6,Biggin,4.0,1.0,2.0,105.0,Yarra City Council,Northern Metropolitan,tiny
Abbotsford,2,h,318916.0,S,7,Collins,3.0,2.0,1.0,250.0,Yarra City Council,Northern Metropolitan,medium
Abbotsford,2,h,941000.0,S,1,Jellis,2.0,1.0,0.0,166.0,Yarra City Council,Northern Metropolitan,medium
Abbotsford,3,h,1876000.0,S,7,Nelson,4.0,2.0,0.0,210.0,Yarra City Council,Northern Metropolitan,medium
Abbotsford,2,u,905423.0,PI,3,Biggin,2.0,2.0,1.0,82.0,Yarra City Council,Northern Metropolitan,tiny
Abbotsford,4,h,557305.0,W,5,Biggin,6.0,2.0,0.0,147.0,Yarra City Council,Northern Metropolitan,small
Abbotsford,2,h,1636000.0,S,8,Nelson,2.0,1.0,2.0,107.0,Yarra City Council,Northern Metropolitan,small
Abbotsford,3,h,1000000.0,S,0,Jellis,2.0,1.0,0.0,381.0,Yarra City Council,Northern Metropolitan,large
Abbotsford,2,t,745000.0,S,9,Jellis,2.0,1.0,0.0,542.0,Yarra City Council,Northern Metropolitan,extra-large
Abbotsford,1,u,300000.0,S,1,Biggin,1.0,1.0,1.0,46.0,Yarra City Council,Northern Metropolitan,tiny
Abbotsford,2,h,1097000.0,S,4,Biggin,3.0,1.0,2.0,75.0,Yarra City Council,Northern Metropolitan,tiny
Abbotsford,2,u,542000.0,S,10,Dingle,1.0,2.0,0.0,330.0,Yarra City Council,Northern Metropolitan,large
Abbotsford,2,h,665500.0,SP,7,Biggin,2.0,1.0,1.0,80.0,Yarra City Council,Northern Metropolitan,tiny
Abbotsford,2,u,760000.0,SP,7,Biggin,2.0,2.0,1.0,321.0,Yarra City Council,Northern Metropolitan,large
Abbotsford,1,u,481000.0,SP,4,Purplebricks,2.0,2.0,1.0,194.0,Yarra City Council,Northern Metropolitan,medium
Abbotsford,2,u,700000.0,VB,0,Jellis,2.0,2.0,1.0,138.0,Yarra City Council,Northern Metropolitan,small
Abbotsford,3,h,1350000.0,VB,6,Nelson,3.0,2.0,2.0,190.0,Yarra City Council,Northern Metropolitan,medium
Abbotsford,2,u,750000.0,S,8,Biggin,2.0,2.0,1.0,94.0,Yarra City Council,Northern Metropolitan,tiny
Abbotsford,4,h,1985000.0,S,1,Biggin,1.0,2.0,1.0,401.0,Yarra City Council,Northern Metropolitan,large
Abbotsford,1,u,500000.0,S,7,Biggin,2.0,1.0,1.0,141.0,Yarra City Council,Northern Metropolitan,small
Abbotsford,2,h,1172500.0,S,0,Biggin,2.0,1.0,1.0,362.0,Yarra City Council,Northern Metropolitan,large
Abbotsford,1,u,441000.0,SP,7,Greg,1.0,1.0,1.0,88.0,Yarra City Council,Northern Metropolitan,tiny
Abbotsford,2,h,1310000.0,S,2,Jellis,2.0,1.0,2.0,97.0,Yarra City Council,Northern Metropolitan,tiny
Abbotsford,3,u,374511.0,PI,7,Philip,3.0,2.0,2.0,129.0,Yarra City Council,Northern Metropolitan,small
Abbotsford,3,h,1200000.0,S,1,Jellis,3.0,2.0,1.0,110.0,Yarra City Council,Northern Metropolitan,small
Abbotsford,2,t,847000.0,S,10,Jellis,1.0,2.0,1.0,189.0,Yarra City Council,Northern Metropolitan,medium
Abbotsford,2,h,1070137.0,PI,5,Biggin,1.0,1.0,0.0,45.0,Yarra City Council,Northern Metropolitan,tiny
Abbotsford,3,h,1176500.0,S,9,LITTLE,2.0,1.0,1.0,105.0,Yarra City Council,Northern Metropolitan,tiny
Abbotsford,3,h,955000.0,S,6,Collins,3.0,1.0,0.0,588.0,Yarra City Council,Northern Metropolitan,extra-large
Abbotsford,2,h,890000.0,S,2,Biggin,2.0,1.0,1.0,73.0,Yarra City Council,Northern Metropolitan,tiny
Abbotsford,4,h,1330000.0,PI,9,Kay,4.0,2.0,2.0,135.0,Yarra City Council,Northern Metropolitan,small
Abbotsford,3,h,252471.0,SP,6,Nelson,3.0,2.0,1.0,167.0,Yarra City Council,Northern Metropolitan,medium
Abbotsford,3,t,900000.0,S,0,Beller,3.0,2.0,2.0,285.0,Yarra City Council,Northern Metropolitan,large
Abbotsford,3,u,1090000.0,S,2,Jellis,3.0,2.0,2.0,27.0,Yarra City Council,Northern Metropolitan,tiny
Abbotsford,2,u,500000.0,S,8,Collins,2.0,1.0,1.0,60.0,Yarra City Council,Northern Metropolitan,tiny
Abbotsford,2,h,1100000.0,PI,2,Biggin,2.0,2.0,1.0,135.0,Yarra City Council,Northern Metropolitan,small
Abbotsford,2,h,1315000.0,S,8,Marshall,2.0,1.0,0.0,85.0,Yarra City Council,Northern Metropolitan,tiny
Abbotsford,1,u,480000.0,S,1,Biggin,1.0,2.0,1.0,417.0,Yarra City Council,Northern Metropolitan,extra-large
Abbotsford,1,u,423500.0,S,7,hockingstuart,2.0,1.0,1.0,176.0,Yarra City Council,Northern Metropolitan,medium
Abbotsford,4,h,614786.0,PI,7,Biggin,2.0,2.0,0.0,382.0,Yarra City Council,Northern Metropolitan,large
Abbotsford,1,u,426000.0,SP,0,Greg,1.0,1.0,1.0,327.0,Yarra City Council,Northern Metropolitan,large
Abbotsford,3,h,1447500.0,PI,10,Nelson,3.0,3.0,1.0,174.0,Yarra City Council,Northern Metropolitan,medium
Abbotsford,1,u,457000.0,S,3,Jellis,1.0,1.0,1.0,50.0,Yarra City Council,Northern Metropolitan,tiny
Abbotsford,2,h,1135000.0,S,8,Nelson,2.0,2.0,2.0,128.0,Yarra City Council,Northern Metropolitan,small
Abbotsford,2,h,700000.0,S,8,Biggin,1.0,2.0,1.0,448.0,Yarra City Council,Northern Metropolitan,extra-large
Abbotsford,4,h,1542000.0,S,6,Collins,4.0,3.0,1.0,308.0,Yarra City Council,Northern Metropolitan,large
Abbotsford,3,t,962000.0,SP,9,Jellis,2.0,2.0,1.0,472.0,Yarra City Council,Northern Metropolitan,extra-large
Abbotsford,3,h,1290000.0,S,0,Biggin,3.0,2.0,2.0,18.0,Yarra City Council,Northern Metropolitan,tiny
Abbotsford,3,h,1290000.0,S,1,Biggin,3.0,1.0,1.0,124.0,Yarra City Council,Northern Metropolitan,small
Abbotsford,1,u,470000.0,S,9,Nelson,1.0,1.0,1.0,50.0,Yarra City Council,Northern Metropolitan,tiny
Abbotsford,2,h,1180000.0,S,8,Jellis,2.0,1.0,0.0,91.0,Yarra City Council,Northern Metropolitan,tiny
Abbotsford,3,h,1195000.0,SP,4,Jellis,3.0,2.0,1.0,128.0,Yarra City Council,Northern Metropolitan,small
Abbotsford,2,u,702359.0,PI,3,Biggin,1.0,2.0,1.0,295.0,Yarra City Council,Northern Metropolitan,large
Abbotsford,2,h,1012500.0,S,0,Nelson,2.0,1.0,0.0,82.0,Yarra City Council,Northern Metropolitan,tiny
Abbotsford,2,u,970000.0,SP,1,Biggin,2.0,1.0,0.0,523.0,Yarra City Council,Northern Metropolitan,extra-large
Abbotsford,2,h,1030000.0,S,2,Biggin,2.0,1.0,1.0,81.0,Yarra City Council,Northern Metropolitan,tiny
Abbotsford,4,h,454536.0,W,4,Biggin,2.0,2.0,0.0,156.0,Yarra City Council,Northern Metropolitan,small
